,Shipments: Attributes Ocean type category,Shipments: Attributes Shipment ID,Shipments: Attributes Tradelane,Shipments: Attributes Gross Weight (kg),Shipments: Attributes Volume (cbm),Shipment Containers: Distance Final Port to Destination Distance in mile,Shipment Containers: Distance Origin to First Port Distance in km,Shipments: Attributes Freight Type,Shipments: Locations Arrival port Coordinates,Shipments: Locations Departure port Coordinates,Port pair,Total Actual Days
621,coloaded_lcl,3028294,LATAM OB,174,1.596,98.87,15.83,Port to Door,"51.9244201,4.4777326","-12.0508491,-77.1259843",PECLL - NLRTM,61.0
622,flxt_lcl,3031455,TPEB,"2,670.5",6.81,8.99,267.60,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,39.0
623,coloaded_lcl,2988531,TPEB,256.8,0.216,181.41,12.02,Port to Door,"34.0522342,-118.2436849","5.4356367,100.3091",MYPEN - USLAX,68.0
624,coloaded_lcl,2978862,TPEB,90.25,1.32,16.27,20.79,Port to Door,"49.2827291,-123.1207375","11.5563738,104.9282099",KHPNH - CATOR,
625,coloaded_lcl,3036659,TPEB,919.5,12.17,8.36,7.65,Port to Door,"47.2528768,-122.4442906","10.8230989,106.6296638",VNSGN - USTIW,63.0
626,coloaded_lcl,3001395,TPWB,204.11,1.164,8.02,176.40,Door to Door,"-37.8136276,144.9630576","33.7700504,-118.1937395",USLGB - AUMEL,53.0
627,coloaded_lcl,3029389,FEWB,912,2.427,109.64,13.70,Door to Door,"51.9244201,4.4777326","1.352083,103.819836",SGSIN - NLRTM,
628,coloaded_lcl,3020792,TPEB,992.95,8.696,"1,716.75",45.04,Port to Door,"34.0522342,-118.2436849","-7.0051453,110.4381254",IDSRG - USLAX,
629,coloaded_lcl,3015362,TPEB,154.44,1.71,93.85,24.76,Port to Door,"40.735657,-74.1723667","14.5995124,120.9842195",PHMNL - USNYC,71.0
630,coloaded_lcl,3017197,TPEB,362.8,6.193,44.73,0.86,Port to Door,"34.0522342,-118.2436849","11.5563738,104.9282099",KHPNH - USLAX,49.0
631,coloaded_lcl,3045936,TAWB,545,0.72,30.83,333.09,Door to Door,"45.5016889,-73.567256","53.5510846,9.9936819",DEHAM - USCHI,61.0
632,coloaded_lcl,3031302,TPEB,"1,356",1.411,"1,925.76",236.01,Port to Door,"34.0522342,-118.2436849","35.1795543,129.0756416",KRPUS - USLAX,39.0
633,coloaded_lcl,2997483,TPEB,494.46,2.9,93.85,2.65,Port to Door,"40.735657,-74.1723667","20.8449115,106.6880841",VNHPH - USNYC,64.0
634,coloaded_lcl,2962331,FEWB,400.45,2.13,48.87,96.03,Port to Door,"51.9244201,4.4777326","-7.0051453,110.4381254",IDSRG - NLRTM,78.0
635,flxt_lcl,3018132,FEWB,"1,074",8.24,57.29,31.56,Port to Door,"51.9244201,4.4777326","22.556499,114.236875",CNYTN - NLRTM,58.0
636,coloaded_lcl,2996648,TPEB,"3,216",9.324,184.57,11.77,Port to Door,"37.8043514,-122.2711639","22.3193039,114.1693611",HKHKG - USOAK,69.0
637,coloaded_lcl,3028165,TAEB,657.71,9.91,98.33,416.43,Door to Door,"51.5100908,0.4595977","45.5016889,-73.567256",CAMTR - GBLGP,47.0
638,coloaded_lcl,2967634,FEWB,"1,381",5.13,87.22,273.69,Port to Door,"51.961726,1.351255","25.0329694,121.5654177",TWTPE - GBFXT,73.0
639,coloaded_lcl,3033433,ROW,460,5.47,26.04,43.28,Port to Door,"45.263473,-66.07295","44.4056499,8.946256",ITGOA - CATOR,71.0
